Model,Train MSE (scaled),Test MSE (scaled),Train RMSE (scaled),Test RMSE (scaled),Train MAE (scaled),Test MAE (scaled),Train R²,Test R²,Overfit Gap,Abs Residual Corr
Linear Regression,0.18348067874607643,0.2508013494212506,0.42834644710336567,0.5008007082874889,0.29846579167618004,0.31945330311257414,0.8165193212539236,0.8143539638925478,0.16914873853649373,0.413602564232602
Gradient Boosting,0.02001437796304268,0.07781078209793646,0.14147218088035074,0.2789458407969842,0.10868587407677804,0.18940187989548338,0.9799856220369573,0.9424035664232409,0.9717363446379681,0.5192864084636698
