,RMSE,MAE,R2
OLS,38680.753825956235,24673.87599917812,0.8143539638925479
Ridge,38699.6831866942,24662.123968514472,0.8141722186932387
Lasso,38712.736673877465,24672.810951120966,0.8140468373227034
ElasticNet,38712.736673877465,24672.810951120966,0.8140468373227034
