,RMSE,MAE,NRMSE%,MAPE%,R2
OLS,28264.516788207373,17916.802367795564,15.443695076454997,9.539328300988528,0.9008759695272209
Ridge,28292.310737970747,17922.491498038693,15.458881654323363,9.540776572858402,0.9006809261847747
Lasso,28384.78544587352,17910.272798662347,15.509409714004557,9.527955283095228,0.9000306072760215
ElasticNet,28384.78544587352,17910.272798662347,15.509409714004557,9.527955283095228,0.9000306072760215
