,RMSE,MAE,R2
OLS,28264.516788207373,17916.802367795564,0.9008759695272209
Ridge,28284.5451603357,17921.052550317003,0.9007354402283755
Lasso,28388.692670763085,17910.02352343692,0.9000030833911682
ElasticNet,28388.692670763085,17910.02352343692,0.9000030833911682
