Model,Train MSE (scaled),Test MSE (scaled),Train RMSE (scaled),Test RMSE (scaled),Train MAE (scaled),Test MAE (scaled),Train R²,Test R²,Trees Used,Overfit Gap
GB Complex,0.01106369440786998,0.07835065972124508,0.10518409769480357,0.27991187849258037,0.08010422833912925,0.19007495893818996,0.98893630559213,0.9420039428128351,500,1.6611615693539281
GB Regularized,0.05854983004096748,0.08637978407400121,0.2419707214539963,0.29390437913376044,0.16771738256360597,0.19717144760683275,0.9414501699590325,0.936060692854481,397,0.21462785814620883
