Model,Train MSE (scaled),Test MSE (scaled),Train RMSE (scaled),Test RMSE (scaled),Train MAE (scaled),Test MAE (scaled),Train R²,Test R²
OLS,0.18348067874607643,0.2508013494212506,0.42834644710336567,0.5008007082874889,0.29846579167618004,0.31945330311257414,0.8165193212539236,0.8143539638925477
Ridge(L2),0.18355469551962394,0.25179517811446234,0.4284328366496013,0.5017919669688449,0.29791199294868653,0.3188878577791032,0.816445304480376,0.8136183204923413
Lasso(L1),0.18349968810961864,0.25128179541473067,0.4283686357678613,0.5012801566137749,0.2983228290248715,0.3194376610695465,0.8165003118903813,0.813998332256358
ElasticNet,0.18354315120748918,0.2517893850270912,0.4284193637167783,0.5017861945361701,0.29804992910224065,0.3191538690648729,0.8164568487925108,0.8136226086020734
