feature,vif
Gr Liv Area,5.179889397532837
Garage Cars,3.4398022405369315
Overall Qual,3.1563328879303634
TotRms AbvGrd,3.075939839565781
Year Built,2.3984612679766104
Garage Area,2.2873956473972417
Full Bath,2.238491191137947
Kitchen Qual,1.985545392998804
1st Flr SF,1.724946212314018
Fireplaces,1.4116706303642648
Overall Cond,1.320343406458232
Total Bsmt SF,1.2004655255078953
Bsmt Full Bath,1.1982443827443678
Neighborhood_frequency,1.1240090367446647
Sale Condition_frequency,1.075750330490891
