Model,Train RMSE,Test RMSE,Train R²,Test R²,CV RMSE
OLS,33084.54480682731,38680.75382595624,0.8165193212539235,0.8143539638925478,33393.093439104225
Ridge,33090.746814039565,38754.2661534281,0.8164505244692569,0.8136476570556375,33379.9114257311
Lasso,33086.15243157416,38716.56505106537,0.8165014896502003,0.8140100569704107,33390.685515676036
ElasticNet,33086.31106522937,38718.37542997155,0.8164997300555019,0.8139926628580211,33390.18501291172
