name,hidden_dims,activation,dropout,weight_decay,best_epoch,total_epochs,train_time_s,test_RMSE,test_MAE,test_R2
A: Shallow [64],[64],relu,0.0,0.0,164,194,1.3,22323.73,15429.89,0.9382
B: Medium [128-64],"[128, 64]",relu,0.0,0.0,33,63,0.5,22650.69,15196.48,0.9363
C: Deep [256-128-64],"[256, 128, 64]",relu,0.0,0.0,21,51,0.6,22234.82,14965.06,0.9387
D: Deep+Sigmoid,"[256, 128, 64]",sigmoid,0.0,0.0,183,213,2.6,21614.07,14774.01,0.942
E: Deep+Dropout0.3,"[256, 128, 64]",relu,0.3,0.0,34,64,0.9,21931.26,14668.37,0.9403
F: Deep+L2,"[256, 128, 64]",relu,0.0,0.01,134,164,2.0,23377.83,15153.26,0.9322
